 binIndex : nMCGJ( nMCerr)|nMCEBt |nMCECt |Nobs |nEB| pEB(pEBerr) |nEC| pEC(pECerr) | trigW(trigWsysErr,trigWerr) | SF(SFerr) |ZgR(REr1) |f(fsysErr,+ferrUp-ferrDn) |purity(pErr)| DR(+DRup-DRlow)| Yield(+YstatUp-YstatLow,+YsysUp-YsysLow)
 1 : 30621.26( 0.015)|21626.495 |8994.764 |44335.0 |31153.0| 0.973(0.01) |13182.0| 0.897(0.019) | 0.99(0.01,0.001) | 1.012(0.014) |0.351(0.006) |0.983(0.005,+0.005-0.005) |0.95(0.013)| 1.0(+0.0-0.0)| 14496.213(+0.015-0.015,+0.024-0.024)
 2 : 3168.423( 0.017)|2262.956 |905.462 |3784.0 |2736.0| 0.973(0.01) |1048.0| 0.897(0.019) | 0.99(0.01,0.001) | 1.012(0.014) |0.362(0.011) |0.995(0.005,+0.003-0.003) |0.952(0.013)| 1.0(+0.0-0.0)| 1294.362(+0.048-0.048,+0.025-0.025)
 3 : 215.468( 0.03)|159.713 |55.755 |234.0 |190.0| 0.973(0.01) |44.0| 0.897(0.019) | 0.99(0.01,0.001) | 1.012(0.014) |0.378(0.031) |0.977(0.005,+0.003-0.003) |0.959(0.012)| 1.0(+0.0-0.0)| 82.575(+0.185-0.185,+0.038-0.038)
 4 : 27920.831( 0.015)|20414.358 |7506.253 |39635.0 |28392.0| 0.969(0.02) |11243.0| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) |0.357(0.006) |0.981(0.005,+0.006-0.006) |0.951(0.02)| 1.0(+0.0-0.0)| 13202.439(+0.015-0.015,+0.029-0.029)
 5 : 2353.546( 0.018)|1707.547 |646.003 |2848.0 |2059.0| 0.969(0.02) |789.0| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) |0.355(0.013) |0.98(0.005,+0.019-0.019) |0.951(0.02)| 1.0(+0.0-0.0)| 943.592(+0.057-0.057,+0.036-0.036)
 6 : 166.072( 0.033)|131.308 |34.764 |153.0 |128.0| 0.969(0.02) |25.0| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) |0.354(0.036) |0.978(0.005,+0.003-0.003) |0.958(0.02)| 1.0(+0.0-0.0)| 50.817(+0.243-0.243,+0.045-0.045)
 7 : 20384.234( 0.015)|15578.077 |4806.038 |27321.0 |20605.0| 0.962(0.047) |6716.0| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) |0.364(0.006) |0.983(0.005,+0.003-0.003) |0.955(0.044)| 1.0(+0.0-0.0)| 9338.13(+0.018-0.018,+0.048-0.048)
 8 : 5602.1( 0.016)|4340.596 |1261.491 |7180.0 |5531.0| 0.962(0.047) |1649.0| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) |0.367(0.009) |0.992(0.005,+0.003-0.003) |0.956(0.044)| 1.0(+0.0-0.0)| 2501.052(+0.034-0.034,+0.049-0.049)
 9 : 262.432( 0.028)|215.735 |46.697 |259.0 |215.0| 0.962(0.047) |44.0| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) |0.382(0.029) |0.99(0.005,+0.002-0.002) |0.958(0.045)| 1.0(+0.0-0.0)| 93.839(+0.172-0.172,+0.056-0.056)
 10 : 5144.431( 0.016)|4372.122 |772.325 |6344.0 |5361.0| 0.978(0.027) |983.0| 0.964(0.018) | 0.987(0.01,0.002) | 1.012(0.014) |0.38(0.008) |0.987(0.005,+0.006-0.006) |0.976(0.026)| 1.0(+0.0-0.0)| 2321.965(+0.034-0.034,+0.033-0.033)
 11 : 170.613( 0.033)|148.292 |22.321 |172.0 |149.0| 0.978(0.027) |23.0| 0.964(0.018) | 0.987(0.01,0.002) | 1.012(0.014) |0.396(0.035) |0.993(0.005,+0.002-0.002) |0.976(0.026)| 1.0(+0.0-0.0)| 66.166(+0.198-0.198,+0.047-0.047)
 12 : 699.195( 0.02)|657.416 |41.78 |770.0 |713.0| 0.978(0.027) |57.0| 0.964(0.018) | 0.979(0.01,0.005) | 1.012(0.014) |0.388(0.017) |1.0(0.005,+0.0-0.03) |0.977(0.026)| 1.0(+0.0-0.0)| 294.729(+0.094-0.094,+0.037-0.047)
 13 : 23.778( 0.08)|22.803 |0.975 |26.0 |26.0| 0.978(0.027) |0.0| 0.964(0.018) | 0.978(0.01,0.005) | 1.012(0.014) |0.512(0.09) |0.931(0.005,+0.005-0.005) |0.978(0.027)| 1.0(+0.0-0.0)| 12.256(+0.438-0.438,+0.096-0.096)
 14 : 34105.943( 0.015)|23954.914 |10150.992 |47737.0 |32719.0| 0.973(0.01) |15018.0| 0.897(0.019) | 0.99(0.01,0.001) | 1.012(0.014) |0.351(0.006) |0.928(0.005,+0.006-0.006) |0.949(0.013)| 1.0(+0.0-0.0)| 14705.033(+0.015-0.015,+0.024-0.024)
 15 : 9324.99( 0.015)|6480.479 |2844.51 |10683.0 |7531.0| 0.973(0.01) |3152.0| 0.897(0.019) | 0.99(0.01,0.001) | 1.012(0.014) |0.351(0.006) |0.95(0.005,+0.011-0.011) |0.951(0.013)| 1.0(+0.0-0.0)| 3376.538(+0.031-0.031,+0.025-0.025)
 16 : 794.398( 0.02)|580.05 |214.346 |743.0 |553.0| 0.973(0.01) |190.0| 0.897(0.019) | 0.99(0.01,0.001) | 1.012(0.014) |0.377(0.016) |0.954(0.005,+0.005-0.005) |0.954(0.012)| 1.0(+0.0-0.0)| 254.313(+0.107-0.107,+0.028-0.028)
 17 : 18918.846( 0.016)|13726.91 |5191.976 |26255.0 |18747.0| 0.969(0.02) |7508.0| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) |0.357(0.007) |0.936(0.005,+0.006-0.006) |0.95(0.02)| 1.0(+0.0-0.0)| 8347.239(+0.019-0.019,+0.029-0.029)
 18 : 6757.432( 0.016)|4863.162 |1894.287 |7771.0 |5707.0| 0.969(0.02) |2064.0| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) |0.349(0.008) |0.961(0.005,+0.01-0.01) |0.952(0.02)| 1.0(+0.0-0.0)| 2481.828(+0.036-0.036,+0.03-0.03)
 19 : 580.094( 0.022)|432.918 |147.177 |514.0 |399.0| 0.969(0.02) |115.0| 0.904(0.019) | 0.987(0.01,0.002) | 1.012(0.014) |0.369(0.019) |0.972(0.005,+0.004-0.004) |0.954(0.02)| 1.0(+0.0-0.0)| 176.31(+0.129-0.129,+0.033-0.033)
 20 : 12029.9( 0.016)|9144.644 |2885.308 |15241.0 |11352.0| 0.962(0.047) |3889.0| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) |0.366(0.008) |0.94(0.005,+0.005-0.005) |0.955(0.044)| 1.0(+0.0-0.0)| 5007.654(+0.025-0.025,+0.048-0.048)
 21 : 12363.597( 0.015)|9495.687 |2867.943 |14656.0 |11145.0| 0.962(0.047) |3511.0| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) |0.361(0.006) |0.95(0.005,+0.008-0.008) |0.956(0.044)| 1.0(+0.0-0.0)| 4808.107(+0.025-0.025,+0.049-0.049)
 22 : 968.254( 0.019)|767.177 |201.08 |851.0 |700.0| 0.962(0.047) |151.0| 0.934(0.032) | 0.988(0.01,0.001) | 1.012(0.014) |0.38(0.015) |0.977(0.005,+0.003-0.003) |0.957(0.045)| 1.0(+0.0-0.0)| 302.648(+0.096-0.096,+0.051-0.051)
